,body_hash,type,dim,scale,center_ecl,x_ecl,y_ecl,z_ecl,r_ecl,q_ecl,f_ecl,ns_ecl,x_obs,y_obs,z_obs,r_obs,q_obs,f_obs,ns_obs,x_luz,y_luz,z_luz,r_luz,q_luz,f_luz,ns_luz,n_equ,alpha_equ,center_equ,x_equ,y_equ,z_equ,r_equ,q_equ,f_equ,ns_equ,w,t0,asp,dsp,albedo_gray_normal,tau_gray_optical,unset,visible,shadow,illuminated,transit,indirect,occult,emit,hidden
0,planet,0,3,1.0,"[0, 0, 0]",-0.03902113298732533,-0.0497327978338789,-0.998,0.9999999999999999,4.047099369766217,-1.5075402279197532,[-0.03902113 -0.0497328  -0.998     ],-0.012660379033926052,-0.998,0.06193314785086679,0.9999999999999999,4.699703910282609,0.061972809329630014,[-0.01266038 -0.998       0.06193315],-0.0497327978338789,-0.998,-0.03902113298732533,0.9999999999999999,4.662597705499645,-0.03903104235899709,[-0.0497328  -0.998      -0.03902113],[0. 0. 1.],0,"[0, 0, 0]",-0.03902113298732533,-0.0497327978338789,-0.998,1.0,4.0470993697662365,-1.5075402279197534,[-0.03902113 -0.0497328  -0.998     ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,1,0,0,0,0,0,0,0
1,planet,0,3,1.0,"[0, 0, 0]",0.10791461253655764,0.017844786383832346,-0.994,0.9999999999999999,0.16387729231528597,-1.4611969689632573,[ 0.10791461  0.01784479 -0.994     ],0.08854133267927522,-0.994,-0.0642217440387435,1.0000000000000002,4.801230292555877,-0.06426597254962203,[ 0.08854133 -0.994      -0.06422174],0.017844786383832346,-0.994,0.10791461253655764,1.0000000000000002,4.730339553498718,0.10812517226667909,[ 0.01784479 -0.994       0.10791461],[0. 0. 1.],0,"[0, 0, 0]",0.10791461253655764,0.017844786383832346,-0.994,1.0,0.16387729231530557,-1.4611969689632573,[ 0.10791461  0.01784479 -0.994     ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,0,0,1,0,0,0,0,0
2,planet,0,3,1.0,"[0, 0, 0]",-0.11817105819614698,0.07704285174370733,-0.99,1.0,2.5638405220439413,-1.4292568534704693,[-0.11817106  0.07704285 -0.99      ],-0.14015001837574093,-0.99,-0.016061517651813455,1.0,4.571757792355644,-0.016062208303232767,[-0.14015002 -0.99       -0.01606152],0.07704285174370733,-0.99,-0.11817105819614698,1.0,4.7900535132971145,-0.11844783229202038,[ 0.07704285 -0.99       -0.11817106],[0. 0. 1.],0,"[0, 0, 0]",-0.11817105819614698,0.07704285174370733,-0.99,1.0,2.563840522043961,-1.4292568534704695,[-0.11817106  0.07704285 -0.99      ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,0,0,0,0,0,0,0,0
3,planet,0,3,1.0,"[0, 0, 0]",0.04148198243927884,-0.16150308087744772,-0.986,1.0,4.963803751772597,-1.4032684832955629,[ 0.04148198 -0.16150308 -0.986     ],0.10932898651379594,-0.986,0.12590144045191182,1.0,4.822819212060162,0.12623644987452137,[ 0.10932899 -0.986       0.12590144],-0.16150308087744772,-0.986,0.04148198243927884,1.0,4.550034455488969,0.041493888381358215,[-0.16150308 -0.986       0.04148198],[0. 0. 1.],0,"[0, 0, 0]",0.04148198243927884,-0.16150308087744772,-0.986,1.0,4.963803751772616,-1.4032684832955629,[ 0.04148198 -0.16150308 -0.986     ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,1,0,1,0,0,0,0,0
4,planet,0,3,1.0,"[0, 0, 0]",0.08892801935617141,0.16663675276897483,-0.982,0.9999999999999999,1.0805816743216654,-1.380773903332186,[ 0.08892802  0.16663675 -0.982     ],0.005017417205675737,-0.982,-0.1888142619734649,0.9999999999999999,4.717498322080295,-0.18995454927139258,[ 0.00501742 -0.982      -0.18881426],0.16663675276897483,-0.982,0.08892801935617141,0.9999999999999999,4.8804789903052885,0.08904564842836786,[ 0.16663675 -0.982       0.08892802],[0. 0. 1.],0,"[0, 0, 0]",0.08892801935617141,0.16663675276897483,-0.982,1.0,1.0805816743216852,-1.380773903332186,[ 0.08892802  0.16663675 -0.982     ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,0,0,1,0,0,0,0,0
5,planet,0,3,1.0,"[0, 0, 0]",-0.19673601387382808,-0.06936094610828868,-0.978,1.0,3.4805449040503205,-1.3606480777704395,[-0.19673601 -0.06936095 -0.978     ],-0.14494688216132195,-0.978,0.1500213363215775,1.0,4.565252601180889,0.15058985329525312,[-0.14494688 -0.978       0.15002134],-0.06936094610828868,-0.978,-0.19673601387382808,1.0,4.641586316971959,-0.1980277546128349,[-0.06936095 -0.978      -0.19673601],[0. 0. 1.],0,"[0, 0, 0]",-0.19673601387382808,-0.06936094610828868,-0.978,1.0,3.4805449040503404,-1.3606480777704393,[-0.19673601 -0.06936095 -0.978     ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,1,0,0,0,0,0,0,0
6,planet,0,3,1.0,"[0, 0, 0]",0.20842760063169474,-0.08878026410703452,-0.974,1.0,5.880508133778975,-1.3422642528472724,[ 0.2084276  -0.08878026 -0.974     ],0.22612705448060183,-0.974,-0.013804174438443978,1.0,4.940511006369553,-0.013804612885652082,[ 0.22612705 -0.974      -0.01380417],-0.08878026410703452,-0.974,0.20842760063169474,1.0,4.621489996852721,0.20996697537854012,[-0.08878026 -0.974       0.2084276 ],[0. 0. 1.],0,"[0, 0, 0]",0.20842760063169474,-0.08878026410703452,-0.974,1.0,5.880508133778996,-1.3422642528472726,[ 0.2084276  -0.08878026 -0.974     ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,0,0,1,0,0,0,0,0
7,planet,0,3,1.0,"[0, 0, 0]",-0.10056703981440432,0.22132842226647723,-0.97,1.0,1.9972860563280446,-1.3252308092796046,[-0.10056704  0.22132842 -0.97      ],-0.18893097443649864,-0.97,-0.1529872115520613,1.0,4.520023240194879,-0.15359036582564706,[-0.18893097 -0.97       -0.15298721],0.22132842226647723,-0.97,-0.10056703981440432,0.9999999999999999,4.936722069772701,-0.10073733397048937,[ 0.22132842 -0.97       -0.10056704],[0. 0. 1.],0,"[0, 0, 0]",-0.10056703981440432,0.22132842226647723,-0.97,1.0,1.9972860563280648,-1.3252308092796046,[-0.10056704  0.22132842 -0.97      ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,0,0,0,0,0,0,0,0
8,planet,0,3,1.0,"[0, 0, 0]",-0.08013492961521296,-0.24580966835249765,-0.966,1.0,4.3972492860567,-1.3092836776345882,[-0.08013493 -0.24580967 -0.966     ],0.03825456559586181,-0.966,0.2556962811835009,1.0,4.751969298143726,0.25856785813893096,[ 0.03825457 -0.966       0.25569628],-0.24580966835249765,-0.966,-0.08013492961521296,1.0,4.46321582318069,-0.08022094424298412,[-0.24580967 -0.966      -0.08013493],[0. 0. 1.],0,"[0, 0, 0]",-0.08013492961521296,-0.24580966835249765,-0.966,1.0,4.39724928605672,-1.3092836776345882,[-0.08013493 -0.24580967 -0.966     ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,1,0,0,0,0,0,0,0
9,planet,0,3,1.0,"[0, 0, 0]",0.237763660465362,0.13425513681834345,-0.962,1.0,0.5140272086057687,-1.2942348124143694,[ 0.23776366  0.13425514 -0.962     ],0.15262156050102135,-0.962,-0.2264125863776861,1.0,4.869727927539518,-0.22839303946065434,[ 0.15262156 -0.962      -0.22641259],0.13425513681834345,-0.962,0.237763660465362,1.0,4.851051739760861,0.2400628355002156,[ 0.13425514 -0.962       0.23776366],[0. 0. 1.],0,"[0, 0, 0]",0.237763660465362,0.13425513681834345,-0.962,1.0,0.5140272086057891,-1.2942348124143694,[ 0.23776366  0.13425514 -0.962     ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,0,0,1,0,0,0,0,0
10,planet,0,3,1.0,"[0, 0, 0]",-0.2793725150477588,0.06470701535297313,-0.958,1.0,2.913990438334424,-1.2799446878881577,[-0.27937252  0.06470702 -0.958     ],-0.2788162308668228,-0.958,0.06706347295822615,1.0,4.4291725901886485,0.06711384473809572,[-0.27881623 -0.958       0.06706347],0.06470701535297313,-0.958,-0.2793725150477588,1.0,4.779830402417645,-0.2831405412960688,[ 0.06470702 -0.958      -0.27937252],[0. 0. 1.],0,"[0, 0, 0]",-0.2793725150477588,0.06470701535297313,-0.958,1.0,2.9139904383344444,-1.279944687888158,[-0.27937252  0.06470702 -0.958     ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,1,0,0,0,0,0,0,0
11,planet,0,3,1.0,"[0, 0, 0]",0.16967050321766464,-0.24717588947521665,-0.954,1.0,5.313953668063079,-1.2663064000666184,[ 0.1696705  -0.24717589 -0.954     ],0.2622983298416299,-0.954,0.14520188071196477,1.0,4.980704836992829,0.14571701260225764,[ 0.26229833 -0.954       0.14520188],-0.24717588947521665,-0.954,0.16967050321766464,1.0,4.45886953166953,0.17049531500522405,[-0.24717589 -0.954       0.1696705 ],[0. 0. 1.],0,"[0, 0, 0]",0.16967050321766464,-0.24717588947521665,-0.954,1.0,5.3139536680631,-1.2663064000666187,[ 0.1696705  -0.24717589 -0.954     ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,1,0,1,0,0,0,0,0
12,planet,0,3,1.0,"[0, 0, 0]",0.0435923395848991,0.30919202436271687,-0.95,0.9999999999999999,1.430731590612148,-1.2532358975033753,[ 0.04359234  0.30919202 -0.95      ],-0.0992847030711255,-0.95,-0.2960448407523404,0.9999999999999999,4.608256792589909,-0.30054920825508624,[-0.0992847  -0.95       -0.29604484],0.30919202436271687,-0.95,0.0435923395848991,0.9999999999999999,5.027041659702372,0.04360615776740013,[ 0.30919202 -0.95        0.04359234],[0. 0. 1.],0,"[0, 0, 0]",0.0435923395848991,0.30919202436271687,-0.95,1.0,1.4307315906121687,-1.2532358975033753,[ 0.04359234  0.30919202 -0.95      ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,0,0,1,0,0,0,0,0
13,planet,0,3,1.0,"[0, 0, 0]",-0.25019737862678604,-0.20611955687970213,-0.946,0.9999999999999999,3.830694820340803,-1.2406656791620452,[-0.25019738 -0.20611956 -0.946     ],-0.13160387042566898,-0.946,0.2962506055504087,1.0000000000000002,4.574160011204286,0.3007646367111046,[-0.13160387 -0.946       0.29625061],-0.20611955687970213,-0.946,-0.25019737862678604,0.9999999999999999,4.497856578133413,-0.25288411227775465,[-0.20611956 -0.946      -0.25019738],[0. 0. 1.],0,"[0, 0, 0]",-0.25019737862678604,-0.20611955687970213,-0.946,1.0,3.830694820340824,-1.2406656791620452,[-0.25019738 -0.20611956 -0.946     ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,1,0,0,0,0,0,0,0
14,planet,0,3,1.0,"[0, 0, 0]",0.33514998178997457,-0.01762071809489617,-0.942,0.9999999999999999,6.230658050069459,-1.22854056458137,[ 0.33514998 -0.01762072 -0.942     ],0.3076474814705896,-0.942,-0.1341231789990206,1.0000000000000002,5.028058020905364,-0.13452859375971085,[ 0.30764748 -0.942      -0.13412318],-0.01762071809489617,-0.942,0.33514998178997457,1.0000000000000002,4.693685516099908,0.3417644140854158,[-0.01762072 -0.942       0.33514998],[0. 0. 1.],0,"[0, 0, 0]",0.33514998178997457,-0.01762071809489617,-0.942,1.0,6.230658050069479,-1.2285405645813703,[ 0.33514998 -0.01762072 -0.942     ],0,0,0.025132741228718346,0.17888543819998318,1,0.0,0,0,0,1,0,0,0,0,0
